"","Method","Index","Date","Loc","SVL","Mass","Microhabitat","Pads","Color","Eggs","Recap","PIT_ID","Stage","Underground","tran2017","newindex"
"4471","Transect",425,"25-May-16","T9","41.5","6.8","L.L.","N","GY","N","N","ID-982000406562784","SNBA","","NO",3209
"4481","Transect",1031,"7-Jun-16","T18","35.8","5.4","L.L.","N","G","N","N","ID-982000406562785","SNBA","","NO",3210
"4491","Transect",818,"29-May-16","T15","35.2","5.2","L.L.","N","GY","N","N","ID-982000406562788","SNBA","","NO",3211
"4521","Transect",228,"4-Jun-16","T3","40","6.4","L.L.","N","GY","N","N","ID-982000406562790","SNBA","","NO",3212
"4531","Transect",407,"25-May-16","T9","42","9.3","L.L.","N","DY","N","N","ID-982000406562791","SNBA","","NO",3213
"4541","Transect",1023,"7-Jun-16","T18","36.2","5.6","L.L.","N","GY","N","N","ID-982000406562792","SNBA","","NO",3214
"4551","Transect",1019,"7-Jun-16","T18","42.5","6.3","L.L.","N","G","N","N","ID-982000406562793","SNBA","","NO",3215
"4561","Transect",1073,"18-Jun-16","T18","43.3","6","L.L.","N","GY","N","R","ID-982000406562793","SNBA","","NO",3216
"4571","Transect",1027,"7-Jun-16","T18","39.5","6","L.L.","N","DY","N","N","ID-982000406562794","SNBA","","NO",3217
"4581","Transect",1069,"18-Jun-16","T18","42","5.8","L.L.","N","GY","N","R","ID-982000406562794","SNBA","","NO",3218
"4591","Transect",1038,"7-Jun-16","T18","38.6","6.4","L.L.","N","DY","N","N","ID-982000406562795","SNBA","","NO",3219
"4601","Transect",441,"8-Jun-16","T9","43.7","6.4","L.L.","N","DY","N","N","ID-982000406562796","SNBA","","NO",3220
"4611","Transect",1024,"7-Jun-16","T18","32.3","3.6","L.L.","N","G","N","N","ID-982000406562797","SNBA","","NO",3221
"4621","Transect",1015,"7-Jun-16","T18","41.9","9.2","L.L.","N","DY","N","N","ID-982000406562799","SNBA","","NO",3222
"4631","Transect",1014,"7-Jun-16","T18","37.1","4.2","L.L.","N","GY","N","N","ID-982000406562800","SNBA","","NO",3223
"4661","Transect",1020,"7-Jun-16","T18","46.8","7.8","L.L.","N","DY","N","N","ID-982000406562801","SNBA","","NO",3224
"4671","Transect",1042,"7-Jun-16","T18","42.2","9","L.L.","N","GY","N","N","ID-982000406562802","SNBA","","NO",3225
"4681","Transect",819,"29-May-16","T15","39.9","5.4","L.L.","N","G","N","N","ID-982000406562803","SNBA","","NO",3226
"4701","Transect",807,"11-May-16","T15","34.5","4.2","L.L","N","G","N","N","ID-982000406562805","SNBA","","NO",3227
"4711","Transect",416,"25-May-16","T9","41.8","6.6","L.L.","N","GY","N","N","ID-982000406562807","SNBA","","NO",3228
"4721","Transect",220,"4-Jun-16","T3","44.3","9","L.L.","N","GY","N","N","ID-982000406562808","SNBA","","NO",3229
"4731","Transect",417,"25-May-16","T9","36.4","4.6","L.L.","N","GY","N","N","ID-982000406562809","SNBA","","NO",3230
"4741","Transect",1018,"7-Jun-16","T18","39","6.2","L.L.","N","G","N","N","ID-982000406562810","SNBA","","NO",3231
"4751","Transect",418,"25-May-16","T9","37.2","5.9","L.L.","N","GY","N","N","ID-982000406562811","SNBA","","NO",3232
"4761","Transect",1028,"7-Jun-16","T18","37.1","6","L.L.","N","DY","N","N","ID-982000406562812","SNBA","","NO",3233
"4771","Transect",429,"25-May-16","T9","42.3","8.5","L.L.","N","GY","N","N","ID-982000406562813","SNBA","","NO",3234
"4781","Transect",523,"27-Jun-16","T9","44.1","11.6","L.L.","N","DY","N","R","ID-982000406562813","SNBA","","NO",3235
"4791","Transect",224,"4-Jun-16","T3","36.3","5.6","L.L.","N","GY","N","N","ID-982000406562815","SNBA","","NO",3236
"4801","Transect",823,"29-May-16","T15","40.8","7.1","L.L.","N","G","N","N","ID-982000406562816","SNBA","","NO",3237
"4811","Transect",408,"25-May-16","T9","35.6","4.5","L.L.","N","G","N","N","ID-982000406562817","SNBA","","NO",3238
"4821","Transect",1017,"7-Jun-16","T18","39.2","6.8","L.L.","N","GY","N","N","ID-982000406562818","SNBA","","NO",3239
"4831","Transect",1040,"7-Jun-16","T18","34","6.6","L.L.","N","G","N","N","ID-982000406562820","SNBA","","NO",3240
"4841","Transect",235,"13-Jun-16","T3","38","7.9","L.L.","N","GY","N","N","ID-982000406562821","SNBA","","NO",3241
"4851","Transect",403,"25-May-16","T9","38.7","Peed","L.L.","N","GY","N","N","ID-982000406562822","SNBA","","NO",3242
"4861","Transect",395,"25-May-16","T9","43.5","9.4","L.L.","N","GY","N","N","ID-982000406562825","SNBA","","NO",3243
"4871","Transect",715,"24-May-16","T14","40.4","6.2","L.L.","N","GY","N","N","ID-982000406562827","SNBA","","NO",3244
"4881","Transect",745,"23-Jun-16","T14","46.9","8.8","L.L.","N","GY","N","R","ID-982000406562827","SNBA","","NO",3245
"4891","Transect",1012,"7-Jun-16","T18","35.5","4","L.L.","N","G","N","N","ID-982000406562828","SNBA","","NO",3246
"4901","Transect",985,"10-May-16","T18","34.7","4.1","L.L.","N","GY","N","N","ID-982000406562829","SNBA","","NO",3247
"4911","Transect",388,"28-Apr-16","T9","34","4.9","L.L.","N","G","N","N","ID-982000406562835","SNBA","","NO",3248
"4941","Transect",397,"25-May-16","T9","44.2","10.4","L.L.","N","G","N","N","ID-982000406562836","SNBA","","NO",3249
"4951","Transect",202,"14-May-16","T3","40.6","7.5","L.L.","N","GY","N","N","ID-982000406562837","SNBA","","NO",3250
"4961","Transect",974,"10-May-16","T18","39.6","6.6","L.L.","N","G","N","N","ID-982000406562838","SNBA","","NO",3251
"4971","Transect",401,"25-May-16","T9","44.4","10.8","L.L.","N","GY","N","N","ID-982000406562840","SNBA","","NO",3252
"4981","Transect",711,"24-May-16","T14","44.6","11.4","L.L.","N","GY","N","N","ID-982000406562841","SNBA","","NO",3253
"4991","Transect",4,"17-May-16","T0","37.4","5.4","L.L.","N","G","N","N","ID-982000406562843","SNBA","","NO",3254
"5001","Transect",717,"24-May-16","T14","42.3","8","L.L.","N","GY","N","N","ID-982000406562844","SNBA","","NO",3255
"5011","Transect",748,"23-Jun-16","T14","46.2","9","L.L.","N","DY","N","R","ID-982000406562844","SNBA","","NO",3256
"5031","Transect",213,"4-Jun-16","T3","42","5.6","L.L.","N","GY","N","N","ID-982000406562845","SNBA","","NO",3257
"5041","Transect",258,"9-Jul-16","T3","41.3","7.4","L.L.","N","GY","N","R","ID-982000406562845","SNBA","","NO",3258
"5051","Transect",2,"17-May-16","T0","44.6","8.4","L.L.","N","G","N","N","ID-982000406562846","SNBA","","NO",3259
"5061","Transect",8,"17-May-16","T0","44.5","7.5","L.L.","N","G","N","N","ID-982000406562847","SNBA","","NO",3260
"5071","Transect",399,"25-May-16","T9","39.9","7.9","L.L.","N","GY","N","N","ID-982000406562848","SNBA","","NO",3261
"5081","Transect",210,"14-May-16","T3","46.2","9.6","L.L.","N","DY","N","N","ID-982000406562849","SNBA","","NO",3262
"5091","Transect",201,"14-May-16","T3","42.2","6.9","L.L.","N","GY","N","N","ID-982000406562850","SNBA","","NO",3263
"5101","Transect",979,"10-May-16","T18","40.6","8.2","L.L.","N","GY","N","N","ID-982000406562852","SNBA","","NO",3264
"5111","Transect",398,"25-May-16","T9","44.4","","L.L.","N","G","N","N","ID-982000406562854","SNBA","","NO",3265
"5121","Transect",12,"17-May-16","T0","35.9","3.6","L.L.","N","G","N","N","ID-982000406562855","SNBA","","NO",3266
"5131","Transect",989,"10-May-16","T18","37.1","Peed","L.L.","N","GY","N","N","ID-982000406562856","SNBA","","NO",3267
"5141","Transect",1035,"7-Jun-16","T18","43.6","6.2","L.L.","N","GY","N","R","ID-982000406562856","SNBA","","NO",3268
"5151","Transect",1114,"26-Jun-16","T18","41.7","7.8","L.L.","N","GY","N","R","ID-982000406562856","SNBA","","NO",3269
"5161","Transect",402,"25-May-16","T9","43.7","9.1","L.L.","N","GY","N","N","ID-982000406562860","SNBA","","NO",3270
"5171","Transect",544,"12-Jul-16","T9","45.4","10.2","L.L.","N","GY","N","R","ID-982000406562860","SNBA","","NO",3271
"5181","Transect",390,"28-Apr-16","T9","35.9","5","L.L.","N","G","N","N","ID-982000406562861","SNBA","","NO",3272
"5191","Transect",212,"4-Jun-16","T3","42.4","8","L.L.","N","GY","N","N","ID-982000406562862","SNBA","","NO",3273
"5201","Transect",1037,"7-Jun-16","T18","36.3","5.2","L.L.","N","GY","N","N","ID-982000406562863","SNBA","","NO",3274
"5211","Transect",15,"17-May-16","T0","42","7.7","L.L.","N","GY","N","N","ID-982000406562871","SNBA","","NO",3275
"5221","Transect",710,"24-May-16","T14","44.7","8.7","L.L.","N","GY","N","N","ID-982000406562873","SNBA","","NO",3276
"5231","Transect",736,"23-Jun-16","T14","46","10.8","L.L.","N","GY","N","R","ID-982000406562873","SNBA","","NO",3277
"5241","Transect",396,"25-May-16","T9","49.4","11.2","L.L.","N","DY","N","N","ID-982000406562875","SNBA","","NO",3278
"5251","Transect",982,"10-May-16","T18","35.3","4.1","L.L.","N","G","N","N","ID-982000406562877","SNBA","","NO",3279
"5261","Transect",391,"28-Apr-16","T9","35.2","4.7","L.L.","N","G","N","N","ID-982000406562879","SNBA","","NO",3280
"5271","Transect",394,"25-May-16","T9","44.7","10.8","L.L.","N","GY","N","N","ID-982000406562880","SNBA","","NO",3281
"5281","Transect",975,"10-May-16","T18","34.7","Peed","L.L.","N","GY","N","N","ID-982000406562883","SNBA","","NO",3282
"5291","Transect",199,"14-May-16","T3","41.1","7.2","L.L.","N","GY","N","N","ID-982000406562884","SNBA","","NO",3283
"5301","Transect",6,"17-May-16","T0","42.5","6.1","L.L.","N","GY","N","N","ID-982000406562885","SNBA","","NO",3284
"5311","Transect",971,"10-May-16","T18","35.1","4.7","L.L.","N","GY","N","N","ID-982000406562887","SNBA","","NO",3285
"5321","Transect",3,"17-May-16","T0","38.8","5.4","L.L.","N","G","N","N","ID-982000406562888","SNBA","","NO",3286
"5331","Transect",22,"11-Jun-16","T0","40.7","7.1","L.L.","N","G","N","R","ID-982000406562888","SNBA","","NO",3287
"5341","Transect",9,"17-May-16","T0","52.6","","L.L.","N","G","N","N","ID-982000406562890","SNBA","","NO",3288
"5351","Transect",14,"17-May-16","T0","40.6","6.8","L.L.","N","G","N","N","ID-982000406562892","SNBA","","NO",3289
"5361","Transect",978,"10-May-16","T18","40.1","7.3","L.L.","N","GY","N","N","ID-982000406562896","SNBA","","NO",3290
"5371","Transect",712,"24-May-16","T14","39.9","6.3","L.L.","N","GY","N","N","ID-982000406562897","SNBA","","NO",3291
"5381","Transect",744,"23-Jun-16","T14","46","8.8","L.L.","N","GY","N","R","ID-982000406562897","SNBA","","NO",3292
"5391","Transect",413,"25-May-16","T9","37.3","5.5","L.L.","N","G","N","N","ID-982000406562898","SNBA","","NO",3293
"5411","Transect",5,"17-May-16","T0","37.2","5.2","L.L.","N","G","N","N","ID-982000406562902","SNBA","","NO",3294
"5421","Transect",713,"24-May-16","T14","45","9.3","L.L.","N","DY","N","N","ID-982000406562903","SNBA","","NO",3295
"5431","Transect",741,"23-Jun-16","T14","49.3","13","L.L.","N","Y","N","R","ID-982000406562903","SNBA","","NO",3296
"5441","Transect",205,"14-May-16","T3","41.1","8.2","L.L.","N","G","N","N","ID-982000406562904","SNBA","","NO",3297
"5461","Transect",208,"14-May-16","T3","40.8","8.4","L.L.","N","G","N","N","ID-982000406562907","SNBA","","NO",3298
"5491","Transect",392,"28-Apr-16","T9","39.4","5.4","L.L.","N","G","N","N","ID-982000406562909","SNBA","","NO",3299
"5501","Transect",10,"17-May-16","T0","37.5","4.8","L.L.","N","G","N","N","ID-982000406562911","SNBA","","NO",3300
"5511","Transect",115,"10-Jul-16","T0","36.2","5","L.L.","N","GY","N","R","ID-982000406562911","SNBA","","NO",3301
"5521","Transect",204,"14-May-16","T3","40.2","6.2","L.L.","N","G","N","N","ID-982000406562912","SNBA","","NO",3302
"5541","Transect",1,"17-May-16","T0","36.1","4.9","L.L.","N","G","N","N","ID-982000406562914","SNBA","","NO",3303
"5551","Transect",24,"11-Jun-16","T0","35.1","Peed","L.L.","N","DY","N","R","ID-982000406562914","SNBA","","NO",3304
"5561","Transect",105,"10-Jul-16","T0","34","5","L.L.","N","GY","N","R","ID-982000406562914","SNBA","","NO",3305
"5581","Transect",11,"17-May-16","T0","40.9","6.7","L.L.","N","G","N","N","ID-982000406562915","SNBA","","NO",3306
"5591","Transect",44,"20-Jun-16","T0","42.4","5.4","L.L.","N","GY","N","R","ID-982000406562915","SNBA","","NO",3307
"5601","Transect",400,"25-May-16","T9","37.3","7.6","L.L.","N","G","N","N","ID-982000406562916","SNBA","","NO",3308
"5611","Transect",455,"19-Jun-16","T9","39.3","8","L.L","N","G","N","R","ID-982000406562916","SNBA","","NO",3309
"5621","Transect",510,"27-Jun-16","T9","40.6","9.3","L.L.","N","G","N","R","ID-982000406562916","SNBA","","NO",3310
"5631","Transect",972,"10-May-16","T18","33.8","5","L.L.","N","G","N","N","ID-982000406562918","SNBA","","NO",3311
"5651","Transect",983,"10-May-16","T18","38.4","7.1","L.L.","N","DY","N","N","ID-982000406562920","SNBA","","NO",3312
"5661","Transect",13,"17-May-16","T0","38.6","5.4","L.L.","N","DY","N","N","ID-982000406562922","SNBA","","NO",3313
"5671","Transect",49,"20-Jun-16","T0","38.1","4.7","L.L.","N","DY","N","R","ID-982000406562922","SNBA","","NO",3314
"5681","Transect",82,"28-Jun-16","T0","36.8","7.1","L.L.","N","DY","N","R","ID-982000406562922","SNBA","","NO",3315
"5691","Transect",151,"23-Jul-16","T0","38.3","6.9","L.L.","N","GY","N","R","ID-982000406562922","SNBA","","NO",3316
"5701","Transect",906,"25-Aug-16","T15","33.1","4.6","L.L.","N","G","N","N","ID-982000406562975","SNBA","","NO",3317
"5751","Transect",907,"25-Aug-16","T15","33.7","3.7","L.L.","N","GY","N","N","ID-982000406562989","SNBA","","NO",3318
"5801","Transect",882,"24-Jul-16","T15","39.4","6.2","L.L.","N","GY","N","N","ID-982000406563031","SNBA","","NO",3319
"5811","Transect",879,"14-Jul-16","T15","38","5.2","L.L.","N","GY","N","N","ID-982000406563037","SNBA","","NO",3320
"5831","Transect",269,"9-Jul-16","T3","35.9","4.7","L.L.","N","GY","N","N","ID-982000406563039","SNBA","","NO",3321
"5851","Transect",280,"9-Jul-16","T3","46.7","9.9","L.L.","N","GY","N","N","ID-982000406563044","SNBA","","NO",3322
"5861","Transect",265,"9-Jul-16","T3","47.4","9.9","L.L.","N","GY","N","N","ID-982000406563051","SNBA","","NO",3323
"5871","Transect",288,"24-Jul-16","T3","45.2","Peed","L.L.","N","GY","N","R","ID-982000406563051","SNBA","","NO",3324
"5881","Transect",866,"14-Jul-16","T15","40.2","5","L.L.","N","GY","N","N","ID-982000406563052","SNBA","","NO",3325
"5901","Transect",876,"14-Jul-16","T15","44.4","9.8","L.L.","N","GY","N","N","ID-982000406563063","SNBA","","NO",3326
"5911","Transect",911,"16-Sep-16","T15","44.1","9.3","L.L.","N","GY","N","R","ID-982000406563063","SNBA","","NO",3327
"5921","Transect",905,"24-Jul-16","T15","33.6","3.8","L.L.","N","GY","N","N","ID-982000406563066","SNBA","","NO",3328
"5931","Transect",858,"14-Jul-16","T15","38.3","4.4","L.L.","N","GY","N","N","ID-982000406563067","SNBA","","NO",3329
"5971","Transect",550,"12-Jul-16","T9","46.8","12","L.L.","N","GY","N","N","ID-982000406563082","SNBA","","NO",3330
"5981","Transect",887,"24-Jul-16","T15","32.5","2.8","L.L.","N","G","N","N","ID-982000406563084","SNBA","","NO",3331
"5991","Transect",1158,"25-Jul-16","T18","35.8","7","L.L.","N","GY","N","N","ID-982000406563086","SNBA","","NO",3332
"6001","Transect",1157,"11-Jul-16","T18","39.1","9.4","L.L.","N","DY","N","N","ID-982000406563087","SNBA","","NO",3333
"6011","Transect",860,"14-Jul-16","T15","39.3","9.1","L.L.","N","DY","N","N","ID-982000406563088","SNBA","","NO",3334
"6021","Transect",276,"9-Jul-16","T3","36.7","7.9","L.L.","N","GY","N","N","ID-982000406563090","SNBA","","NO",3335
"6031","Transect",301,"24-Jul-16","T3","37.2","7.6","L.L.","N","GY","N","R","ID-982000406563090","SNBA","","NO",3336
"6041","Transect",572,"12-Jul-16","T9","41.8","7.9","L.L.","N","GY","N","N","ID-982000406563092","SNBA","","NO",3337
"6051","Transect",859,"14-Jul-16","T15","38","5","L.L.","N","GY","N","N","ID-982000406563093","SNBA","","NO",3338
"6061","Transect",899,"24-Jul-16","T15","34.5","4.2","L.L.","N","GY","N","N","ID-982000406563096","SNBA","","NO",3339
"6071","Transect",103,"10-Jul-16","T0","39.1","6.8","L.L.","N","GY","N","N","ID-982000406563097","SNBA","","NO",3340
"6081","Transect",892,"24-Jul-16","T15","34.5","4.7","L.L.","N","GY","N","N","ID-982000406563101","SNBA","","NO",3341
"6091","Transect",545,"12-Jul-16","T9","42.8","8.8","L.L.","N","GY","N","N","ID-982000406563104","SNBA","","NO",3342
"6111","Transect",254,"9-Jul-16","T3","41.4","9.1","L.L.","N","GY","N","N","ID-982000406563108","SNBA","","NO",3343
"6121","Transect",284,"24-Jul-16","T3","43.7","9","L.L.","N","GY","N","R","ID-982000406563108","SNBA","","NO",3344
"6131","Transect",888,"24-Jul-16","T15","37","4.3","L.L.","N","GY","N","N","ID-982000406563112","SNBA","","NO",3345
"6141","Transect",93,"28-Jun-16","T0","41.7","9.2","L.L.","N","DY","N","N","ID-982000406563116","SNBA","","NO",3346
"6151","Transect",569,"12-Jul-16","T9","41.9","7","L.L.","N","GY","N","N","ID-982000406563117","SNBA","","NO",3347
"6161","Transect",567,"12-Jul-16","T9","43.4","9","L.L.","N","GY","N","N","ID-982000406563120","SNBA","","NO",3348
"6181","Transect",76,"28-Jun-16","T0","","4.8","L.L.","N","GY","N","N","ID-982000406563124","SNBA","","NO",3349
"6191","Transect",119,"10-Jul-16","T0","35.7","4.4","L.L.","N","GY","N","R","ID-982000406563124","SNBA","","NO",3350
"6201","Transect",501,"19-Jun-16","T9","37","5.8","L.L.","N","GY","N","N","ID-982000406563126","SNBA","","NO",3351
"6211","Transect",1124,"26-Jun-16","T18","37.3","","L.L.","N","DY","N","N","ID-982000406563127","SNBA","","NO",3352
"6221","Transect",497,"19-Jun-16","T9","34.6","6.4","L.L.","N","GY","N","N","ID-982000406563131","SNBA","","NO",3353
"6241","Transect",144,"23-Jul-16","T0","44","10","L.L.","N","GY","N","N","ID-982000406563132","SNBA","","NO",3354
"6251","Transect",64,"28-Jun-16","T0","42.3","7","L.L.","N","DY","N","N","ID-982000406563133","SNBA","","NO",3355
"6261","Transect",110,"10-Jul-16","T0","43.7","8.1","L.L.","N","DY","N","R","ID-982000406563133","SNBA","","NO",3356
"6271","Transect",48,"20-Jun-16","T0","43.8","9.8","L.L.","N","GY","N","N","ID-982000406563135","SNBA","","NO",3357
"6291","Transect",282,"9-Jul-16","T3","43.5","10.2","L.L.","N","GY","N","N","ID-982000406563136","SNBA","","NO",3358
"6301","Transect",304,"24-Jul-16","T3","42","8.6","L.L.","N","GY","N","R","ID-982000406563136","SNBA","","NO",3359
"6311","Transect",55,"20-Jun-16","T0","36.3","5.4","L.L.","N","GY","N","N","ID-982000406563138","SNBA","","NO",3360
"6321","Transect",85,"28-Jun-16","T0","37","5","L.L.","N","DY","N","R","ID-982000406563138","SNBA","","NO",3361
"6331","Transect",1112,"26-Jun-16","T18","42.9","8.6","L.L.","N","GY","N","N","ID-982000406563139","SNBA","","NO",3362
"6341","Transect",1132,"26-Jun-16","T18","38.3","7","L.L.","N","GY","N","N","ID-982000406563142","SNBA","","NO",3363
"6351","Transect",502,"19-Jun-16","T9","36.7","Peed","L.L.","N","DY","N","N","ID-982000406563143","SNBA","","NO",3364
"6361","Transect",129,"10-Jul-16","T0","43.7","8.6","L.L.","N","DY","N","N","ID-982000406563145","SNBA","","NO",3365
"6371","Transect",162,"23-Jul-16","T0","45.3","9.8","L.L.","N","GY","N","R","ID-982000406563145","SNBA","","NO",3366
"6381","Transect",164,"23-Jul-16","T0","40.4","7","L.L.","N","GY","N","N","ID-982000406563146","SNBA","","NO",3367
"6391","Transect",59,"28-Jun-16","T0","46.3","10.5","L.L.","N","GY","N","N","ID-982000406563147","SNBA","","NO",3368
"6401","Transect",107,"10-Jul-16","T0","47.4","12","L.L.","N","GY","N","R","ID-982000406563147","SNBA","","NO",3369
"6411","Transect",512,"27-Jun-16","T9","39.6","10.1","L.L.","N","GY","N","N","ID-982000406563149","SNBA","","NO",3370
"6421","Transect",287,"24-Jul-16","T3","38.5","6.1","L.L.","N","GY","N","N","ID-982000406563150","SNBA","","NO",3371
"6441","Transect",456,"19-Jun-16","T9","36.8","Peed","L.L","N","DY","N","N","ID-982000406563151","SNBA","","NO",3372
"6451","Transect",515,"27-Jun-16","T9","40.8","Peed","L.L.","N","DY","N","R","ID-982000406563151","SNBA","","NO",3373
"6461","Transect",67,"28-Jun-16","T0","39.9","6.7","L.L.","N","GY","N","N","ID-982000406563152","SNBA","","NO",3374
"6471","Transect",123,"10-Jul-16","T0","44.7","7.9","L.L.","N","GY","N","N","ID-982000406563153","SNBA","","NO",3375
"6481","Transect",42,"20-Jun-16","T0","41.8","5.4","L.L.","N","GY","N","N","ID-982000406563154","SNBA","","NO",3376
"6491","Transect",147,"23-Jul-16","T0","42.8","7.2","L.L.","N","GY","N","R","ID-982000406563154","SNBA","","NO",3377
"6511","Transect",483,"19-Jun-16","T9","39.2","6.5","L.L.","N","GY","N","N","ID-982000406563155","SNBA","","NO",3378
"6521","Transect",562,"12-Jul-16","T9","43","8","L.L.","N","GY","N","R","ID-982000406563155","SNBA","","NO",3379
"6531","Transect",285,"24-Jul-16","T3","35.9","6.7","Microstegium","N","GY","N","N","ID-982000406563156","SNBA","","NO",3380
"6551","Transect",78,"28-Jun-16","T0","34.8","4.7","L.L.","N","G","N","N","ID-982000406563157","SNBA","","NO",3381
"6561","Transect",290,"24-Jul-16","T3","39","Peed","Microstegium","N","GY","N","N","ID-982000406563159","SNBA","","NO",3382
"6571","Transect",471,"19-Jun-16","T9","45","10.1","L.L","N","DY","N","N","ID-982000406563160","SNBA","","NO",3383
"6581","Transect",148,"23-Jul-16","T0","33.5","4.9","L.L.","N","G","N","N","ID-982000406563164","SNBA","","NO",3384
"6591","Transect",1127,"26-Jun-16","T18","40.8","10.4","L.L.","N","GY","N","N","ID-982000406563165","SNBA","","NO",3385
"6601","Transect",1134,"26-Jun-16","T18","44.5","9.6","L.L.","N","DY","N","N","ID-982000406563168","SNBA","","NO",3386
"6611","Transect",458,"19-Jun-16","T9","37","5.5","L.L","N","GY","N","N","ID-982000406563169","SNBA","","NO",3387
"6621","Transect",549,"12-Jul-16","T9","39.8","6.9","L.L.","N","GY","N","R","ID-982000406563169","SNBA","","NO",3388
"6631","Transect",1110,"26-Jun-16","T18","42.5","11.6","L.L.","N","DY","N","N","ID-982000406563170","SNBA","","NO",3389
"6641","Transect",63,"28-Jun-16","T0","41.1","7.4","L.L.","N","DY","N","N","ID-982000406563171","SNBA","","NO",3390
"6651","Transect",1097,"18-Jun-16","T18","37.1","","L.L.","N","GY","N","N","ID-982000406563172","SNBA","","NO",3391
"6661","Transect",113,"10-Jul-16","T0","38.1","5.3","L.L.","N","GY","N","N","ID-982000406563174","SNBA","","NO",3392
"6671","Transect",145,"23-Jul-16","T0","40","5.9","L.L.","N","GY","N","N","ID-982000406563175","SNBA","","NO",3393
"6681","Transect",47,"20-Jun-16","T0","41.2","","L.L.","N","GY","N","N","ID-982000406563176","SNBA","","NO",3394
"6691","Transect",46,"20-Jun-16","T0","43.1","5.7","L.L.","N","DY","N","N","ID-982000406563177","SNBA","","NO",3395
"6701","Transect",66,"28-Jun-16","T0","43.1","6","L.L.","N","DY","N","R","ID-982000406563177","SNBA","","NO",3396
"6711","Transect",531,"27-Jun-16","T9","41","10.7","L.L.","N","GY","N","N","ID-982000406563178","SNBA","","NO",3397
"6721","Transect",65,"28-Jun-16","T0","39.9","6.6","L.L.","N","GY","N","N","ID-982000406563179","SNBA","","NO",3398
"6731","Transect",478,"19-Jun-16","T9","40.2","Peed","L.L.","N","GY","N","N","ID-982000406563181","SNBA","","NO",3399
"6741","Transect",464,"19-Jun-16","T9","33.8","Peed","L.L","N","GY","N","N","ID-982000406563182","SNBA","","NO",3400
"6751","Transect",489,"19-Jun-16","T9","40","8.6","L.L.","N","DY","N","N","ID-982000406563184","SNBA","","NO",3401
"6761","Transect",517,"27-Jun-16","T9","41.7","8.8","L.L.","N","GY","N","N","ID-982000406563185","SNBA","","NO",3402
"6771","Transect",98,"28-Jun-16","T0","45.6","11.6","L.L.","N","DY","N","N","ID-982000406563186","SNBA","","NO",3403
"6781","Transect",516,"27-Jun-16","T9","41.5","8.8","L.L.","N","G","N","N","ID-982000406563188","SNBA","","NO",3404
"6791","Transect",460,"19-Jun-16","T9","38.9","Peed","L.L","N","GY","N","N","ID-982000406563189","SNBA","","NO",3405
"6801","Transect",518,"27-Jun-16","T9","39.2","7.8","L.L.","N","DY","N","R","ID-982000406563189","SNBA","","NO",3406
"6811","Transect",551,"12-Jul-16","T9","42.7","8.2","L.L.","N","GY","N","R","ID-982000406563189","SNBA","","NO",3407
"6821","Transect",153,"23-Jul-16","T0","36.8","5.4","L.L.","N","G","N","N","ID-982000406563190","SNBA","","NO",3408
"6831","Transect",1144,"11-Jul-16","T18","46.9","11.4","L.L.","N","DY","N","N","ID-982000406563191","SNBA","","NO",3409
"6841","Transect",243,"25-Jun-16","T3","47.9","8.8","L.L.","N","DY","N","N","ID-982000406563192","SNBA","","NO",3410
"6851","Transect",92,"28-Jun-16","T0","45.8","7.8","L.L.","N","GY","N","N","ID-982000406563193","SNBA","","NO",3411
"6861","Transect",475,"19-Jun-16","T9","43.6","9.8","L.L","N","DY","N","N","ID-982000406563197","SNBA","","NO",3412
"6871","Transect",79,"28-Jun-16","T0","40.6","5.8","L.L.","N","GY","N","N","ID-982000406563198","SNBA","","NO",3413
"6891","Transect",126,"10-Jul-16","T0","40.6","7.2","L.L.","N","GY","N","N","ID-982000406563200","SNBA","","NO",3414
"6901","Transect",84,"28-Jun-16","T0","44.3","8.2","L.L.","N","DY","N","N","ID-982000406563202","SNBA","","NO",3415
"6911","Transect",846,"22-Jun-16","T15","36.6","Peed","L.L.","N","GY","N","N","ID-982000406563205","SNBA","","NO",3416
"6921","Transect",118,"10-Jul-16","T0","37.8","6.2","L.L.","N","GY","N","N","ID-982000406563207","SNBA","","NO",3417
"6931","Transect",490,"19-Jun-16","T9","41.4","Peed","L.L.","N","GY","N","N","ID-982000406563208","SNBA","","NO",3418
"6951","Transect",840,"22-Jun-16","T15","42.8","8.1","L.L.","N","DY","N","N","ID-982000406563209","SNBA","","NO",3419
"6961","Transect",51,"20-Jun-16","T0","36.3","5.6","L.L.","N","GY","N","N","ID-982000406563211","SNBA","","NO",3420
"6971","Transect",291,"24-Jul-16","T3","40.7","7.7","L.L.","N","GY","N","N","ID-982000406563212","SNBA","","NO",3421
"6991","Transect",247,"25-Jun-16","T3","31.9","3.9","L.L.","N","GY","N","N","ID-982000406563217","SNBA","","NO",3422
"7001","Transect",1123,"26-Jun-16","T18","38.4","6.8","L.L.","N","GY","N","N","ID-982000406563219","SNBA","","NO",3423
"7011","Transect",480,"19-Jun-16","T9","40.1","7.6","L.L.","N","GY","N","N","ID-982000406563220","SNBA","","NO",3424
"7021","Transect",561,"12-Jul-16","T9","40.8","7.6","L.L.","N","GY","N","R","ID-982000406563220","SNBA","","NO",3425
"7031","Transect",581,"25-Jul-16","T9","42.7","9.1","L.L.","N","GY","N","R","ID-982000406563220","SNBA","","NO",3426
