Index,Date,Date_num,Start_time,End_time,Observers,Scribe,Xcoord,Ycoord,Ground_Temp (C),Ambient_Temp (C),RH (%),Wind (km/h),Soil_pH,Soil_Hum (%),Rain,Plot_ID_Full,Plot_ID,Survey_Type,Survey_Number,Sheet_ID,No.,Recap,SVL(mm),GPS_Waypoint,Mass (g),Burrow(Y/N),Burrow_Depth,Microhabitat,Pads,Color,Eggs,STAGE,Unique_ID,Final_PITtag_Toeclip,Toeclip,Old_wrong,Body Condition,Ycoord,Xcoord,Comments,Outside Plot,Captured_only_once,Matured_during_study,Underground,QC
400,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,1,R,47.2,,Peed,Y,,L.L.,Y,Y,N,M,ID-982000406562628,9.82E+14,,,OK,4120503,365736,,N,N,N,N,
11,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,11,N,48.2,#108/5,11.2,N,,L.L.,Y,Y,N,M,ID-982000406562701,9.82E+14,,,OK,4118908,367374,,N,N,N,N,
419,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,7,R,48.3,,,N,,L.L.,Y,Y,N,M,ID-982000406562649,9.82E+14,,,OK,4120499,365741,,N,N,N,N,
1,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,1,N,48.9,#113/5,13.5,Next to,,L.L.,Y,Y,N,M,ID-982000406562715,9.82E+14,,,OK,4118994,367363,,N,N,N,N,
74,21-Jul-16,20160721,21:09,23:00,"ADS, JF, FW","HM, ADS",,,25.8,25.3,85.7,0,6.1,53,No,A; Etour,A,Plot,6,SS-21-JUL-2016-01,2,N,49.4,,,N,,L.L.,Y,DY,N,M,ID-900118001081251,9.00E+14,,,OK,4118966,367375,,N,N,N,N,
210,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,25,R,49.5,,,N,,L.L.,Y,Y,N,M,ID-982000406255129,9.82E+14,,,OK,4121487,363215,,N,N,Y,N,
37,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,14,R,49.7,#458/5,,N,,L.L.,Y,Y,N,M,ID-982000406562715,9.82E+14,,,OK,4118995,367371,,N,N,N,N,
132,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,2,N,49.8,,12.8,Y,,L.L.,Y,DY,N,M,ID-982000406562703,9.82E+14,,,OK,4121485,363213,,N,N,N,N,
498,17-Jul-16,20160717,21:37,22:08,"ADS, JF, FW",HM,,,24.4,24.3,92.4,0,5.2,57,No,E;FT1,E,Plot,5,SS-17-JUL-2016-01,1,R,50.3,,,N,,L.L.,Y,Y,N,M,ID-982000406562660,9.82E+14,,,OK,4118395,365804,,N,N,Y,N,
250,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,28,N,50.5,,,N,,L.L.,Y,Y,N,M,ID-900118001079885,9.00E+14,,,OK,4121468,363230,,N,N,N,N,
58,3-Jul-16,20160703,21:45,23:57,"ADS, JF",KN,,,21.5,22.1,90.4,0,6.4,60,No,A; Etour,A,Plot,5,SS-03-JUL-2016-01,8,R,50.7,,,N,,L.L.,Y,Y,N,M,ID-982000406562774,9.82E+14,,,OK,4118991,367385,,N,N,N,N,
492,25-Jun-16,20160625,21:26,22:49,"ADS, KN",JF,,,22.7,22.9,86.7,0,6.6,20,No,E; FT1,E,Plot,4,SS-25-JUN-2016-01,2,R,51,,,N,,L.L.,Y,Y,N,M,ID-982000406562660,9.82E+14,,,OK,4118397,365796,,N,N,Y,N,
464,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,4,N,51.4,#363/5,14.5,N,,L.L.,Y,Y,N,M,ID-982000406562716,9.82E+14,,,OK,4118389,365783,Peed,N,N,N,N,
466,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,6,N,51.5,#352/5,14,N,,L.L.,Y,Y,N,M,ID-982000406562758,9.82E+14,,,OK,4118393,365794,PERI; Peed,Y,N,N,N,
500,17-Jul-16,20160717,21:37,22:08,"ADS, JF, FW",HM,,,24.4,24.3,92.4,0,5.2,57,No,E;FT1,E,Plot,5,SS-17-JUL-2016-01,3,R,52.7,,,N,,L.L.,Y,Y,N,M,ID-982000406562716,9.82E+14,,,OK,4118392,367783,,N,N,N,N,
29,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,6,N,53.3,#461/5,,N,,L.L.,Y,Y,N,M,ID-982000406562774,9.82E+14,,,OK,4118988,367378,,N,N,N,N,
14,6-May-16,20160506,21:15,22:15,"ADS, BN, MRL",?,,,13.5,11.8,89,1.5,6.4,60,No,A; Etour,A,Plot,2,SS-06-MAY-2016-01,1,N,59.6,,20.8,1/2 inch,,L.L.,Y,Y,N,M,ID-982000406562639,9.82E+14,,,OK,4118966,367370,,N,Y,N,N,
392,23-May-16,20160523,21:45,23:40,"ADS, MR",HW,,,18,15.3,95.5,,5.5,50,"No, rained earlier (drizzle)",C; Gooseley,C,Plot,3,SS-23-MAY-2016-01,1,R,,#342/8,,,,L.L.,Y,Y,N,M,ID-982000406562628,9.82E+14,,,OK,4120501,365727,,N,N,N,N,
478,2-Jun-16,20160602,22:00,0:15,"ADS, MRL","KN, ADS",,,23.1,22.2,94.4,0,5.3,60,No,E; FT1,E,Plot,3,SS-02-JUN-2016-01,2,R,,#437/8,,N,,L.L.,Y,Y,N,M,ID-982000406562758,9.82E+14,,,OK,4118387,365802,PERI,Y,N,N,N,
480,2-Jun-16,20160602,22:00,0:15,"ADS, MRL","KN, ADS",,,23.1,22.2,94.4,0,5.3,60,No,E; FT1,E,Plot,3,SS-02-JUN-2016-01,4,R,,#444/8,,N,,L.L.,Y,DY,N,M,ID-982000406562660,9.82E+14,,,OK,4118401,365797,,N,N,Y,N,
481,2-Jun-16,20160602,22:00,0:15,"ADS, MRL","KN, ADS",,,23.1,22.2,94.4,0,5.3,60,No,E; FT1,E,Plot,3,SS-02-JUN-2016-01,5,R,,#443/8,,N,,L.L.,Y,Y,N,M,ID-982000406562716,9.82E+14,,,OK,4118404,365777,,N,N,N,N,
482,2-Jun-16,20160602,22:00,0:15,"ADS, MRL","KN, ADS",,,23.1,22.2,94.4,0,5.3,60,No,E; FT1,E,Plot,3,SS-02-JUN-2016-01,6,R,,#440/8,,N,,L.L.,Y,Y,N,M,ID-982000406562575,9.82E+14,,,OK,4118392,365792,,N,N,N,N,
370,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,4,N,21.4,#94/5,1.2,N,,L.L.,N,G,N,SNBA,ID-982000406255096,9.82E+14,GOOSELEY-0004,,OK,4120482,365731,,N,N,N,N,
374,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,8,N,23.1,#96/5,1.6,N,,L.L.,N,G,N,SNBA,ID-GOOSLEY-0030,GOOSLEY-0030,GOOSLEY-0030,,OK,4120511,365729,,N,N,N,N,
390,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,13,N,24.7,,1.6,N,,L.L.,N,G,N,SNBA,ID-982000406255135,9.82E+14,GOOSELEY-0400,,OK,4120488,365733,Peed,N,N,N,N,
375,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,9,N,24.9,#92/5,2,N,,L.L.,N,G,N,SNBA,ID-982000406255169,9.82E+14,GOOSELEY-0020,,OK,4120485,365730,,N,N,N,N,
376,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,10,N,25,#95/5,1.8,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0010,GOOSELEY-0010,GOOSELEY-0010,,OK,4120503,365735,,N,Y,N,N,
403,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,4,R,26.3,,Peed,N,,L.L.,N,G,N,SNBA,ID-982000406255096,9.82E+14,GOOSELEY-0004,,OK,4120494,365736,,N,N,N,N,
401,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,2,R,26.6,,Peed,N,,L.L.,N,G,N,SNBA,ID-GOOSLEY-0030,GOOSLEY-0030,GOOSLEY-0030,,OK,4120504,365726,,N,N,N,N,
372,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,6,N,26.9,#92/5,2,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0002,GOOSELEY-0002,GOOSELEY-0002,,OK,4120485,365730,,N,N,N,N,
13,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,13,N,27,#107/5,2.1,N,,L.L.,N,G,N,SNBA,ID-1000,1000,ETOUR-1000,,OK,4118978,367368,,N,Y,N,N,
383,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,6,N,27,,1.9,N,,L.L.,N,G,N,SNBA,ID-982000406255080,9.82E+14,GOOSELEY-0300,,OK,4120496,365739,Peed,N,N,N,N,
371,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,5,N,27.2,#97/5,2.2,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0003,GOOSELEY-0003,GOOSELEY-0003,,OK,4120480,365725,,N,Y,N,N,
373,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,7,N,27.4,#95/5,2.2,N,,L.L.,N,G,N,SNBA,ID-GOOSLEY-0040,GOOSLEY-0040,GOOSLEY-0040,,OK,4120503,365735,,N,N,N,N,
415,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,3,N,27.7,,,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0013,GOOSELEY-0013,GOOSELEY-0013,,OK,4120502,365725,,N,Y,N,N,
384,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,7,N,28.4,,2,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0200,GOOSELEY-0200,GOOSELEY-0200,,OK,4120488,365733,Peed,N,Y,N,N,
